Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
AAD12;;Subduraalse vedeliku drenaaž;Drainage of subdural fluid;;0;01.01.2022;;;1;
AAD15;;Traumaatilise intratserebraalse hematoomi evakuatsioon;Evacuation of traumatic intracerebral haematoma;;0;01.01.2003;;;1;
AAD16;;Subduraalse dreeni eemaldamine;Removal of subdural drainage;;0;01.01.2022;;;1;
AAD30;;Kolju penetreeriva või perforeeriva vigastuse revisioon;Revision of penetrating or perforating injury of skull;;0;01.01.2003;;;1;
AAD40;;Koljumurru revisioon;Revision of fracture of skull;;0;01.01.2003;;;1;
AAD42;;Eesmise koljupõhimiku murru ravi;Treatment of frontobasal fracture of skull;;0;01.01.2022;;;1;
AAD99;;Muu operatsioon traumaatilise peavigastuse korral;Other operation for head injury;;0;01.01.2003;;;1;
AAE00;;Transsfenoidaalne eksploratsioon;Transsphenoidal exploration;;0;01.01.2003;;;1;
AAE10;;Transsfenoidaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transsphenoidal total or partial excision of intracranial lesion;;0;01.01.2003;;;1;
AAE20;;Transoraalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transoral total or partial excision of intracranial lesion;;0;01.01.2003;;;1;
AAE25;;Transtservikaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transcervical total or partial excision of intracranial lesion;;0;01.01.2003;;;1;
AAE30;;Translabürintne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Translabyrinthine total or partial excision of intracranial lesion;;0;01.01.2003;;;1;
AAE32;;Akustikusneurinoomi  translabürintne eemaldamine;Translabyrinthine excision acoustic neurinome;;0;01.01.2022;;;1;
AAE40;;Transtemporaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transtemporal total or partial excision of intracranial lesion;;0;01.01.2003;;;1;
AAE50;;Intrakraniaalse kahjustuse täielik või osaline ekstsisioon sarna-oimuluu kaudu;Zygomaticotemporal total or partial excision of intracranial lesion;;0;01.01.2003;;;1;
AAE99;;Muu operatsioon koljupõhimiku kaudu;Other operation by cranial base approach;;0;01.01.2003;;;1;
AAF00;;Ventrikulostoom;Ventriculostomy;;0;01.01.2003;;;1;
AAF05;;Ventrikuloperitoneaalne šunteerimine;Ventriculoperitoneal shunt;;0;01.01.2003;;;1;
AAF10;;Lumboperitoneaalne šunteerimine;Lumboperitoneal shunt;;0;01.01.2003;;;1;
AAF12;;Liikvori lumbaalne drenaaž;Lumbal drainage of cerebrospinal fluid;;0;01.01.2022;;;1;
AAF15;;Ventrikuloatriaalne šunteerimine;Ventriculoatrial shunt;;0;01.01.2003;;;1;
AAF20;;Ajuvatsakeste šundi revisioon;Revision of shunt of ventricle of brain;;0;01.01.2003;;;1;
AAF25;;Ajuvatsakeste šundi eemaldamine;Removal of shunt of ventricle of brain;;0;01.01.2003;;;1;
AAF30;;Intraventrikulaarse süstesüsteemi implantatsioon;Implantation of intraventricular injection device;;0;01.01.2003;;;1;
AAF35;;Reservuaari implantatsioon intraventrikulaarse teraapia jaoks;Implantation of reservoir for intraventricular therapy;;0;01.01.2003;;;1;
AAF40;;Intrakraniaalse tsüsti šunteerimine peritoneumi;Shunt of intracranial cyst to peritoneum;;0;01.01.2003;;;1;
AAF45;;Intrakraniaalse tsüsti fenestratsioon;Fenestration of intracranial cyst;;0;01.01.2003;;;1;
AAF50;;Endoskoopiline kolmanda ajuvatsakese ventrikulostoomia;Endoscopic Third Ventriculostomy (ETV);;0;01.01.2020;;;1;
AAF99;;Muu šunteeriv operatsioon ajuvatsakestel või intrakraniaalsel tsüstil;Other shunt operation on ventricle of brain or intracranial cyst;;0;01.01.2003;;;1;
AAG00;;Stereotaktiline intrakraniaalne biopsia;Stereotactic intracranial biopsy;;0;01.01.2003;;;1;
AAG10;;Stereotaktiline tuumori või närvitrakti intrakraniaalne destruktsioon;Stereotactic intracranial destruction of nucleus or nerve tract;;0;01.01.2003;;;1;
AAG20;;Stereotaktiline elektroodide intrakraniaalne implanteerimine;Stereotactic intracranial implantation of electrodes;;0;01.01.2003;;;1;
AAG22;;Taalamuse elektroodi implanteerimine;Implantation of electrode to thalamus;;0;01.01.2022;;;1;
AAG23;;Taalamuse elektroodi revisioon;Revision of thalamic electrode;;0;01.01.2022;;;1;
AAG30;;Stereotaktiline radioaktiivse aine intrakraniaalne implanteerimine;Stereotactic intracranial implantation of radioactive agent;;0;01.01.2003;;;1;
AAG40;;Stereotaktiline lootekoe intrakraniaalne implanteerimine;Stereotactic intracranial implantation of fetal tissue;;0;01.01.2003;;;1;
AAG50;;Stereotaktiline intrakraniaalne radioteraapia;Stereotactic intracranial radiotherapy;;0;01.01.2003;;;1;
AAG99;;Muu stereotaktiline intrakraniaalne operatsioon;Other stereotactic intracranial operation;;0;01.01.2003;;;1;
AAH10;;Kraniaalnärvi risotoomia;Rhizotomy of cranial nerve;;0;01.01.2003;;;1;
AAH20;;Kraniaalnärvi dekompressioon;Decompression of cranial nerve;;0;01.01.2003;;;1;
AAH30;;Kraniaalnärvi termiline destruktsioon;Thermal destruction of cranial nerve;;0;01.01.2003;;;1;
AAH40;;Süstimine kraniaalnärvi;Injection into cranial nerve;;0;01.01.2003;;;1;
AAH50;;Kraniaalnärvi anastomoos;Cranial nerve anastomosis;;0;01.01.2003;;;1;
AAH60;;Kraniaalnärvi mikrovaskulaarne dekompressioon;Microvascular decompression of cranial nerve;;0;01.01.2003;;;1;
AAH70;;Närvi transplantatsioon kraniaalnärvile;Nervtransplantation to cranial nerve;;0;01.01.2022;;;1;
AAH80;;Mikrovaskulaarse  lihaslapi siirdamine kraniaalnärvi piirkonnas;Microvascural muscle transplantation in cranial nerve area;;0;01.01.2022;;;1;
AAH99;;Muu operatsioon kraniaalnärvil;Other operation on cranial nerve;;0;01.01.2003;;;1;
AAI20;;Terapeutilise aine süstimine koljusse;Injection of therapeutic substance to skull;;0;01.01.2022;;;1;
AAJ00;;Hemisferektoomia;Hemispherectomy;;0;01.01.2003;;;1;
AAJ10;;Lobektoomia epilepsia korral;Lobectomy for epilepsy;;0;01.01.2003;;;1;
AAJ15;;Hipokampektoomia;Hippocampectomy;;0;01.01.2003;;;1;
AAJ20;;Epileptilise kolde ekstsisioon;Excision of epileptic focus;;0;01.01.2003;;;1;
AAJ25;;Närvitraktide läbilõige epilepsia korral;Transcision of nerve tracts for epilepsy;;0;01.01.2003;;;1;
AAJ30;;Kallosotoomia epilepsia korral;Callosotomy for epilepsy;;0;01.01.2003;;;1;
AAJ35;;Hemidekortikatsioon epilepsia korral;Hemidecortication for epilepsy;;0;01.01.2003;;;1;
AAJ99;;Muu operatsioon epilepsia korral;Other operation for epilepsy;;0;01.01.2003;;;1;
AAK00;;Kranioplastika;Cranioplasty;;0;01.01.2003;;;1;
AAK10;;Dura korrektsioon;Repair of dura;;0;01.01.2003;;;1;
AAK20;;Operatsioonid kraniosünostoosi korral;Operations for craniosynostosis;;0;01.01.2003;;;1;
AAK30;;Näokolju rekonstruktsioon kaasasündinud väärarengute korral;Craniofacial reconstruction in congenital malformations;;0;01.01.2003;;;1;
AAK40;;Liikvori fistuli sulgemine;Closure of cerebrospinal fluid fistula;;0;01.01.2003;;;1;
AAK50;;Kolju murru reponeerimine ja osteosüntees;Reposition and ostheosynthesis in skull trauma;;0;01.01.2022;;;1;
AAK60;;Koljukahjustuse resektsioon kolju rekonstrueerimisega;Resection of skull lesion with reconstruction;;0;01.01.2022;;;1;
AAK70;;Koljubiopsia;Biopsy of skull;;0;01.01.2003;;;1;
AAK75;;Kolju kahjustuskolde ekstsisioon;Excision of lesion of skull;;0;01.01.2003;;;1;
AAK80;;Pealae osaline ekstsisioon;Partial excision of skull cap;;0;01.01.2010;;;1;
AAK85;;Eelnevalt eemaldatud pealae  osa replantatsioon;Replantation of previously excised part of skull cap;;0;01.01.2010;;;1;
AAK91;;Luumarkeri implanteerimine koljule;Implantation of skeletal marker to skull;;0;01.01.2022;;;1;
AAK99;;Muu operatsioon koljul või dural;Other operation on skull or dura;;0;01.01.2003;;;1;
AAL00;;Intrakraniaalse aneurüsmi endovaskulaarne okluseerimine;Endovascular occlusion of intracranial aneurysm;;0;01.01.2003;;;1;
AAL10;;Intrakraniaalne endovaskulaarne trombolüüs;Intracranial endovascular thrombolysis;;0;01.01.2003;;;1;
AAL18;;Akuutse isheemilise insuldi intravenoosne trombolüüsravi;Fibrinolytic therapy for acute ischemic stroke;;0;01.01.2014;;;1;
AAL20;;Intrakraniaalse arterio-venoosse malformatsiooni endovaskulaarne okluseerimine;Endovascular occlusion of intracranial arterio-venous malformation;;0;01.01.2003;;;1;
AAL30;;Intrakraniaalse fistuli endovaskulaarne okluseerimine;Endovascular occlusion of intracranial fistula;;0;01.01.2003;;;1;
AAL40;;Intrakraniaalsete tuumorit toitvate arterite endovaskulaarne okluseerimine;Endovascular occlusion of feeding arteries of intracranial tumour;;0;01.01.2003;;;1;
AAL99;;Muu intrakraniaalne endovaskulaarne protseduur;Other intracranial endovascular procedure;;0;01.01.2003;;;1;
AAM00;;Intrakraniaalse abstsessi punktsioon ja evakuatsioon;Puncture and evacuation of intracerebral abscess;;0;01.01.2003;;;1;
AAM10;;Intrakraniaalse abstsessi ekstsisioon;Excision of intracerebral abscess;;0;01.01.2003;;;1;
AAM30;;Epiduraalse või subduraalse empüeemi evakuatsioon;Evacuation of epidural or subdural empyema;;0;01.01.2003;;;1;
AAM99;;Muu operatsioon intrakraniaalse infektsiooni korral;Other operation for intracranial infection;;0;01.01.2003;;;1;
AAN00;;Meningo-entsefalotseele ekstsisioon ja korrektsioon;Excision and repair of encephalocele;;0;01.01.2003;;;1;
AAN99;;Muu operatsioon kaasasündinud intrakraniaalse väärarengu korral;Other operation for intracranial congenital malformation;;0;01.01.2003;;;1;
AAP00;;Lihase lokaalne transpositsioon näo halvatuse korral;Local transposition of muscle for facial palsy;;0;01.01.2010;;;1;
AAP10;;Kogu näo närvide transplantatsioon näo halvatuse korral;Cross-facial transplantation of nerve for facial palsy;;0;01.01.2010;;;1;
AAP20;;Mikrovaskulaarne transpositsioon näo halvatuse korral;Microvascular transposition of muscle for facial palsy;;0;01.01.2010;;;1;
AAP99;;Muu rekonstruktiivne operatsioon näo halvatuse korral;Other reconstructive operation for facial palsy;;0;01.01.2010;;;1;
AAT05;;Aju süvastimulaatori paigaldamine või seadistamine;Adjustment or insertion of electronic stimulator for deep brain stimulation;;0;01.01.2022;;;1;
AAU00;;Implantaadi ja välise fiksatsiooniseadme eemaldamine koljust;Removal of implant or external fixation device from skull;;0;01.01.2003;;;1;
AAW01;;Intrakraniaalse stimulaatori paigaldamine;Implantation of intracranial stimulation device;;0;01.01.2003;;;1;
AAW02;;Intrakraniaalse süstesüsteemi paigaldamine;Implantation of intracranial injection device;;0;01.01.2003;;;1;
AAW99;;Muu operatsioon koljul või intrakraniaalsel struktuuril;Other operation on skull or intracranial structure;;0;01.01.2003;;;1;
AAX00;;Lõgeme punktsioon;Puncture of fontanel;;0;01.01.2022;;;1;
AB4AT;;Liikvori eemaldamine nahaaluse kateetriga;Catheterisation of cerebrospinal fluid through skin;;0;01.01.2022;;;1;
AB4FT;;Liikvorikateetri vahetus;Exchange of cerebrospinal catheter;;0;01.01.2022;;;1;
AB5AT;;Spinaalnärvi blokaad;Blockade of spinal nerv root;;0;01.01.2022;;;1;
ABA00;;Eksploratiivne laminektoomia;Exploratory laminectomy;;0;01.01.2003;;;1;
ABA10;;Spinaalkanali kahjustuskolde biopsia;Biopsy of lesion of spinal canal;;0;01.01.2003;;;1;
ABA20;;Intratekaalne endoskoopia;Intrathecal endoscopy;;0;01.01.2010;;;1;
ABA30;;Epiduroskoopia;Epiduroscopy;;0;01.01.2010;;;1;
ABA99;;Muu diagnostiline operatsioon seljaajul või närvijuurtel;Other diagnostic operation on spinal cord or nerve root;;0;01.01.2003;;;1;
ABB00;;Spinaalkanali kahjustuskolde ekstsisioon;Excision of lesion of spinal canal;;0;01.01.2003;;;1;
ABB02;;Närvijuure kahjustuskolde ekstsisioon;Excision of lesion of nerve root;;0;01.01.2010;;;1;
ABB04;;Närvijuure kahjustuskolde destruktsioon;Desctruction of lesion of nerve root;;0;01.01.2010;;;1;
ABB06;;Närvijuure kahjustuskolde perkutaanne destruktsioon;Percutaneous destruction of lesion of nerve root;;0;01.01.2010;;;1;
ABB10;;Spinaalkanali kahjustuskolde resektsioon;Resection of lesion of spinal canal;;0;01.01.2003;;;1;
ABB20;;Spinaalkanali intra- või ekstramedullaarse tsüsti dreenimine;Drainage of intra- or extramedullary cyst of spinal canal;;0;01.01.2003;;;1;
ABB30;;Spinaalkanali kahjustuskolde destruktsioon;Destruction of lesion of spinal canal;;0;01.01.2003;;;1;
ABB40;;Spinaalkanali spontaanse kahjustuskolde hematoomi evakuatsioon;Evacuation of spontaneous haematoma of spinal canal;;0;01.01.2003;;;1;
ABB99;;Muu operatsioon seljaaju kahjustuse korral;Other operation for lesion of spinal canal;;0;01.01.2003;;;1;
ABC01;;Perkutaanne endoskoopiline diskektoomia tservikaalse intervertebraalse diski väljasopistuse korral;Percutaneous endoscopic discectomy for cervical intervertebral disc displacement;;0;01.01.2003;;;1;
ABC04;;Perkutaanne endoskoopiline diskektoomia torakaalse intervertebraalse diski väljasopistuse korral;Percutaneous endoscopic discectomy for thoracic intervertebral disc displacement;;0;01.01.2003;;;1;
ABC07;;Perkutaanne endoskoopiline diskektoomia lumbaalosa intervertebraalse diski väljasopistuse korral;Percutaneous endoscopic discectomy for lumbar intervertebral disc displacement;;0;01.01.2003;;;1;
ABC10;;Mikrokirurgiline ekstsisioon tservikaalse intervertebraalse diski väljasopistuse korral;Microsurgical excision of cervical intervertebral disc displacement;;0;01.01.2003;;;1;
ABC13;;Mikrokirurgiline ekstsisioon torakaalse intervertebraalse diski väljasopistuse korral;Microsurgical excision of thoracic intervertebral disc displacement;;0;01.01.2003;;;1;
ABC16;;Mikrokirurgiline ekstsisioon lumbaalosa intervertebraalse diski väljasopistuse korral;Microsurgical excision of lumbar intervertebral disc displacement;;0;01.01.2003;;;1;
ABC17;;Ekstraforaminaalse diski prolapsi eemaldamine;Removal of extraforaminal disc prolapse;;0;01.01.2020;;;1;
ABC20;;Avatud diskektoomia lülisamba tservikaalosas;Open discectomy of cervical spine;;0;01.01.2003;;;1;
ABC21;;Lülisamba kaelaosa eesmine dekompressioon koos lülikehadevahelise implantaadi paigaldamisega;Anterior decompression of cervical spine with insertion of interbody fixating implant;;0;01.01.2010;;;1;
ABC23;;Avatud diskektoomia lülisamba torakaalosas;Open discectomy of thoracic spine;;0;01.01.2003;;;1;
ABC26;;Avatud diskektoomia lülisamba lumbaalosas;Open discectomy of lumbar spine;;0;01.01.2003;;;1;
ABC28;;Ogajätkete vahelise suureneva implantaadi paigaldamine;Insertion of expanding implant between spinous processes;;0;01.01.2010;;;1;
ABC30;;Tservikaalosa närvijuurte dekompressioon;Decompression of cervical nerve roots;;0;01.01.2003;;;1;
ABC33;;Torakaalosa närvijuurte dekompressioon;Decompression of thoracic nerve roots;;0;01.01.2003;;;1;
ABC36;;Lumbaalosa närvijuurte dekompressioon;Decompression of lumbar nerve roots;;0;01.01.2003;;;1;
ABC40;;Cauda equina dekompressioon;Decompression of cauda equina;;0;01.01.2003;;;1;
ABC50;;Tservikaalosa spinaalkanali ja närvijuurte dekompressioon;Decompression of cervical spinal canal and nerve roots;;0;01.01.2003;;;1;
ABC53;;Torakaalosa spinaalkanali ja närvijuurte dekompressioon;Decompression of thoracic spinal canal and nerve roots;;0;01.01.2003;;;1;
ABC56;;Lumbaalosa spinaalkanali ja närvijuurte dekompressioon;Decompression of lumbar spinal canal and nerve roots;;0;01.01.2003;;;1;
ABC60;;Seljaaju tservikaalosa dekompressioon;Decompression of cervical spinal cord;;0;01.01.2003;;;1;
ABC63;;Seljaaju torakaalosa dekompressioon;Decompression of thoracic spinal cord;;0;01.01.2003;;;1;
ABC66;;Seljaaju lumbaalosa dekompressioon;Decompression of lumbar spinal cord;;0;01.01.2003;;;1;
ABC99;;Muu dekomprimeeriv operatsioon seljaajul ja närvijuurtel;Other decompressive operation on spinal cord or nerve root;;0;01.01.2003;;;1;
ABD10;;Avatud kordotoomia;Open cordotomy;;0;01.01.2003;;;1;
ABD15;;Perkutaanne kordotoomia;Percutaneous cordotomy;;0;01.01.2010;;;1;
ABD20;;Müelotoomia;Myelotomy;;0;01.01.2003;;;1;
ABD30;;Spinaalse stimulaatori implantatsioon;Implantation of spinal stimulation device;;0;01.01.2003;;;1;
ABD32;;Ajutise spinaalse stimulaatori implantatsioon;Implantation of temporary spinal stimulation device;;0;01.01.2020;;;1;
ABD33;;Spinaalse- ja närvijuure stimulaatori revisioon;Revision of spinal and nerve root stimulation device;;0;01.01.2020;;;1;
ABD40;;Spinaalse süstesüsteemi implantatsioon;Implantation of spinal injection device;;0;01.01.2003;;;1;
ABD50;;Spinaalse närvijuure transsektsioon valu või häiritud funktsiooni tõttu;Transection of spinal nerve root for pain or impaired function;;0;01.01.2003;;;1;
ABD60;;Spinaalse elektroodi implanteerimine;Implantation of spinal electrode;;0;01.01.2022;;;1;
ABD99;;Muu operatsioon seljaajul või närvil valu või häiritud funktsiooni tõttu;Other operation on spinal cord or nerve for pain or impaired function;;0;01.01.2003;;;1;
ABE10;;Müelotseele või meningotseele ekstsisioon ja korrektsioon;Excision and repair of myelocele or meningocele;;0;01.01.2003;;;1;
ABE20;;Tethered cord’i või diastematomüeelia mobilisatsioon;Mobilisation of tethered cord or diastematomyelia;;0;01.01.2003;;;1;
ABE30;;Dermaalsiinuse ekstsisioon;Excision of dermal sinus;;0;01.01.2003;;;1;
ABE40;;Operatsioon hüdromüeelia korral;Operation for hydromyelia;;0;01.01.2003;;;1;
ABE50;;Oktsipitotservikaalne dekompressioon;Occipitocervical decompression;;0;01.01.2003;;;1;
ABE99;;Muu operatsioon lülisamba malformatsiooni korral;Other operation for spinal malformation;;0;01.01.2003;;;1;
ABW99;;Muu operatsioon seljaajul või närvijuurtel;Other operation on spinal cord or nerve root;;0;01.01.2003;;;1;
AC009;;Gonioskoopia;Gonioscopy;;0;01.01.2022;;;1;
AC140;;Intrakutaanne närvistimulatsioon;Intracutanoues nerve stimulation;;0;01.01.2022;;;1;
ACA11;;"Perifeerse närvi eksploratsioon; n. medianus";"Exploration of peripheral nerve; median";;0;01.01.2003;;;1;
ACA12;;"Perifeerse närvi eksploratsioon; n. radialis";"Exploration of peripheral nerve; radial";;0;01.01.2003;;;1;
ACA13;;"Perifeerse närvi eksploratsioon; n. ulnaris";"Exploration of peripheral nerve; ulnar";;0;01.01.2003;;;1;
ACA14;;"Perifeerse närvi eksploratsioon; n. peroneus";"Exploration of peripheral nerve; peroneal";;0;01.01.2003;;;1;
ACA15;;"Perifeerse närvi eksploratsioon; n. tibialis";"Exploration of peripheral nerve; tibial";;0;01.01.2003;;;1;
ACA16;;"Perifeerse närvi eksploratsioon; n. ischiadicus";"Exploration of peripheral nerve; sciatic";;0;01.01.2003;;;1;
ACA17;;"Perifeerse närvi eksploratsioon; plexus lumbalis";"Exploration of peripheral nerve; lumbar plexus";;0;01.01.2003;;;1;
ACA18;;"Perifeerse närvi eksploratsioon; mlexus brachialis";"Exploration of peripheral nerve; brachial plexus";;0;01.01.2003;;;1;
ACA19;;"Perifeerse närvi eksploratsioon; muu või määratlemata";"Exploration of peripheral nerve; other or unspecified";;0;01.01.2003;;;1;
ACA21;;"Perifeerse närvi biopsia; n. medianus";"Biopsy of peripheral nerve; median";;0;01.01.2003;;;1;
ACA22;;"Perifeerse närvi biopsia; n. radialis";"Biopsy of peripheral nerve; radial";;0;01.01.2003;;;1;
ACA23;;"Perifeerse närvi biopsia; n. ulnaris";"Biopsy of peripheral nerve; ulnar";;0;01.01.2003;;;1;
ACA24;;"Perifeerse närvi biopsia; n. peroneus";"Biopsy of peripheral nerve; peroneal";;0;01.01.2003;;;1;
ACA25;;"Perifeerse närvi biopsia; n. tibialis";"Biopsy of peripheral nerve; tibial";;0;01.01.2003;;;1;
ACA26;;"Perifeerse närvi biopsia; n. ischiadicus";"Biopsy of peripheral nerve; sciatic";;0;01.01.2003;;;1;
ACA27;;"Perifeerse närvi biopsia; plexus lumbalis";"Biopsy of peripheral nerve; lumbar plexus";;0;01.01.2003;;;1;
ACA28;;"Perifeerse närvi biopsia; mlexus brachialis";"Biopsy of peripheral nerve; brachial plexus";;0;01.01.2003;;;1;
ACA29;;"Perifeerse närvi biopsia; muu või määratlemata";"Biopsy of peripheral nerve; other or unspecified";;0;01.01.2003;;;1;
ACA91;;"Muu diagnostiline operatsioon perifeersel närvil; n. medianus";"Other diagnostic operation on peripheral nerve; median";;0;01.01.2003;;;1;
ACA92;;"Muu diagnostiline operatsioon perifeersel närvil; n. radialis";"Other diagnostic operation on peripheral nerve; radial";;0;01.01.2003;;;1;
ACA93;;"Muu diagnostiline operatsioon perifeersel närvil; n. ulnaris";"Other diagnostic operation on peripheral nerve; ulnar";;0;01.01.2003;;;1;
ACA94;;"Muu diagnostiline operatsioon perifeersel närvil; n. peroneus";"Other diagnostic operation on peripheral nerve; peroneal";;0;01.01.2003;;;1;
ACA95;;"Muu diagnostiline operatsioon perifeersel närvil; n. tibialis";"Other diagnostic operation on peripheral nerve; tibial";;0;01.01.2003;;;1;
ACA96;;"Muu diagnostiline operatsioon perifeersel närvil; n. ischiadicus";"Other diagnostic operation on peripheral nerve; sciatic";;0;01.01.2003;;;1;
ACA97;;"Muu diagnostiline operatsioon perifeersel närvil; plexus lumbalis";"Other diagnostic operation on peripheral nerve; lumbar plexus";;0;01.01.2003;;;1;
ACA98;;"Muu diagnostiline operatsioon perifeersel närvil; mlexus brachialis";"Other diagnostic operation on peripheral nerve; brachial plexus";;0;01.01.2003;;;1;
ACA99;;"Muu diagnostiline operatsioon perifeersel närvil; muu või määratlemata";"Other diagnostic operation on peripheral nerve; other or unspecified";;0;01.01.2003;;;1;
ACB11;;"Perifeerse närvi kahjustuse ekstsisioon; n. medianus";"Excision of lesion of peripheral nerve; median";;0;01.01.2003;;;1;
ACB12;;"Perifeerse närvi kahjustuse ekstsisioon; n. radialis";"Excision of lesion of peripheral nerve; radial";;0;01.01.2003;;;1;
ACB13;;"Perifeerse närvi kahjustuse ekstsisioon; n. ulnaris";"Excision of lesion of peripheral nerve; ulnar";;0;01.01.2003;;;1;
ACB14;;"Perifeerse närvi kahjustuse ekstsisioon; n. peroneus";"Excision of lesion of peripheral nerve; peroneal";;0;01.01.2003;;;1;
ACB15;;"Perifeerse närvi kahjustuse ekstsisioon; n. tibialis";"Excision of lesion of peripheral nerve; tibial";;0;01.01.2003;;;1;
ACB16;;"Perifeerse närvi kahjustuse ekstsisioon; n. ischiadicus";"Excision of lesion of peripheral nerve; sciatic";;0;01.01.2003;;;1;
ACB17;;"Perifeerse närvi kahjustuse ekstsisioon; plexus lumbalis";"Excision of lesion of peripheral nerve; lumbar plexus";;0;01.01.2003;;;1;
